账号,内容,时间,转发数,评论数 
贞丰检察,#小凤雅家属诉陈岚案开庭#【小凤雅奶奶：养大8个孩子没要过邻居一瓢面，募捐的3万多块毁了全家】8月14日，河南“眼癌女童”王凤雅家属起诉作家陈岚名誉侵权一案在上海闵行区人民法院开庭审理。作家陈岚去年4月曾实名指控称患有视网膜母细胞瘤的女童王凤雅遭到亲生父母“虐待”致死，指其家人“重男轻女”“骗捐”，引发舆论战。后来这些信息均被证实是不实信息。经警方调查确认，王凤雅家属主要通过水滴筹募得善款35689元，及其他善款2949元，共计38638元。除了给凤雅看病，王太友把剩余的一千多块钱捐给了当地慈善机构。“网上那些都是虚假新闻，网上都是他们在说，自己连澄清的机会都没有”。王凤雅家人决意要澄清事实，还他们一个清白。他们觉得陈岚给自己的家庭带来了莫大的伤害。提起凤雅的事，奶奶李兰英哭诉着，说自己养大了六个闺女俩儿子没有问邻居要过一瓢面，可凤雅这三万多块钱就毁了他们一个家。O网页链接L七环视频的微博视频收起全文d,2019年08月15日 16:31, 转发 2,评论 
七环视频,#小凤雅家属诉陈岚案开庭#【小凤雅奶奶：养大8个孩子没要过邻居一瓢面，募捐的3万多块毁了全家】8月14日，河南“眼癌女童”王凤雅家属起诉作家陈岚名誉侵权一案在上海闵行区人民法院开庭审理。作家陈岚去年4月曾实名指控称患有视网膜母细胞瘤的女童王凤雅遭到亲生父母“虐待”致死，指其家人“重男轻女”“骗捐”，引发舆论战。后来这些信息均被证实是不实信息。经警方调查确认，王凤雅家属主要通过水滴筹募得善款35689元，及其他善款2949元，共计38638元。除了给凤雅看病，王太友把剩余的一千多块钱捐给了当地慈善机构。“网上那些都是虚假新闻，网上都是他们在说，自己连澄清的机会都没有”。王凤雅家人决意要澄清事实，还他们一个清白。他们觉得陈岚给自己的家庭带来了莫大的伤害。提起凤雅的事，奶奶李兰英哭诉着，说自己养大了六个闺女俩儿子没有问邻居要过一瓢面，可凤雅这三万多块钱就毁了他们一个家。O网页链接L七环视频的微博视频收起全文d,2019年08月15日 16:29, 转发 2,评论 
曲靖市麒麟区检察院,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 ,评论 
富源县检察院,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 1,评论 
淼淼6379167562,昨日微博遭遇灭霸，文章审核排长队，懒得等了，重贴一遍。 媒体“反转”小凤雅事件时，采用“倾尽全力救治凤雅的家属遭遇别有用心的慈善组织”这一故事框架，替代“重男轻女家庭挪用善款致女儿死亡”。然而家属表现扛不起这个人设。对资金使用的较真也不是为了三万多块钱，而是指出这套解释逻辑不通。O我给大家讲个笑话：公益组织欠小凤雅一个道歉收起全文d,2018年06月05日 02:32, 转发 ,评论 1
东西湖发布,【小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 |#新京报评论#】一年来，围绕这家人“诈捐”、“虐待”、“弃疗”、“重男轻女”的质疑一直未曾停止，给这个农村家庭带来莫大的压力，小凤雅母亲杨美芹甚至患上了抑郁症。为了清白与尊严，凤雅家人决定起诉这场舆论风暴的始作俑者陈岚，讨要一个公正的说法。2019年8月14日，王凤雅去世一年之后，其家属诉微博大V、作家陈岚侵犯名誉权案，在上海开庭审理。这将“小凤雅之死”再次带回到公众视野内。@新京报评论O小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 | 新京报评论收起全文d,2019年08月15日 15:34, 转发 ,评论 
东西湖发布,【小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 |#新京报评论#】一年来，围绕这家人“诈捐”、“虐待”、“弃疗”、“重男轻女”的质疑一直未曾停止，给这个农村家庭带来莫大的压力，小凤雅母亲杨美芹甚至患上了抑郁症。为了清白与尊严，凤雅家人决定起诉这场舆论风暴的始作俑者陈岚，讨要一个公正的说法。2019年8月14日，王凤雅去世一年之后，其家属诉微博大V、作家陈岚侵犯名誉权案，在上海开庭审理。这将“小凤雅之死”再次带回到公众视野内。@新京报评论收起全文d,2019年08月15日 15:48, 转发 ,评论 2
新京报,【小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 |#新京报评论#】一年来，围绕这家人“诈捐”、“虐待”、“弃疗”、“重男轻女”的质疑一直未曾停止，给这个农村家庭带来莫大的压力，小凤雅母亲杨美芹甚至患上了抑郁症。为了清白与尊严，凤雅家人决定起诉这场舆论风暴的始作俑者陈岚，讨要一个公正的说法。2019年8月14日，王凤雅去世一年之后，其家属诉微博大V、作家陈岚侵犯名誉权案，在上海开庭审理。这将“小凤雅之死”再次带回到公众视野内。@新京报评论O小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 | 新京报评论收起全文d,2019年08月15日 15:34, 转发 24,评论 111
岚客岚,【代理律师梳理庭审焦点：#陈岚否认小凤雅母亲患抑郁#】8月14日，#小凤雅家属诉陈岚案开庭#庭审结束后，小凤雅母亲代理律师梳理了焦点问题：①原告有无杜撰事实；②有无诈捐事实；③有没有遭受到对方侵权的事实。其称，凤雅母亲遭受网络攻击后患抑郁症，但@作家陈岚否认，并对抑郁病治疗费提出异议。L新京报我们视频的秒拍视频收起全文d,2019年08月15日 09:57, 转发 ,评论 
新京报,【小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 |#新京报评论#】一年来，围绕这家人“诈捐”、“虐待”、“弃疗”、“重男轻女”的质疑一直未曾停止，给这个农村家庭带来莫大的压力，小凤雅母亲杨美芹甚至患上了抑郁症。为了清白与尊严，凤雅家人决定起诉这场舆论风暴的始作俑者陈岚，讨要一个公正的说法。2019年8月14日，王凤雅去世一年之后，其家属诉微博大V、作家陈岚侵犯名誉权案，在上海开庭审理。这将“小凤雅之死”再次带回到公众视野内。@新京报评论O小凤雅家属诉陈岚案：精英想象勿踩踏底层尊严 | 新京报评论收起全文d,2019年08月15日 15:34, 转发 420,评论 801
网易亲子,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 15:34, 转发 ,评论 
曲靖市马龙区检察院,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 2,评论 
正义安庆,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:30, 转发 ,评论 
罗平检察,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 3,评论 1
玉田检察院,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:41, 转发 ,评论 
宣威检察,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 5,评论 
陆良检察2018,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 6,评论 
襄阳市检察院,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 15:15, 转发 ,评论 
师宗人民检察院,#法治微新闻#【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 14:54, 转发 7,评论 
石家庄帮忙,【女童#王凤雅家属诉陈岚案未当庭宣判#：家属索赔13万，双方拒调解】王凤雅家属诉陈岚案于8月14日在上海闵行法院公开开庭审理，王凤雅家属的诉讼请求包括判令被告陈岚在媒体上公开赔礼道歉、赔偿损失共13余万元，双方拒绝调解。凤雅爷爷称，结果还没有出来，等待法院判决。@一手VideoL一手video的秒拍视频收起全文d,2019年08月15日 15:11, 转发 ,评论 
